"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"18","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"14","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"2","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"8","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"17","ENSG00000152931","hurdle",0,-2.426103,1.774253,4.200356,0.816
"32","ENSG00000229618","hurdle",0,-1.299351,3.902919,5.20227,0.811
"37","ENSG00000237720","hurdle",0,-2.239899,1.91027,4.150169,0.807
"11","ENSG00000135426","hurdle",0,-2.282747,2.288929,4.571676,0.796
"38","ENSG00000239498","hurdle",0,-2.275885,3.30484,5.580725,0.795
"29","ENSG00000224271","hurdle",0,-2.035958,3.804619,5.840577,0.794
"15","ENSG00000147676","hurdle",0,-2.273237,1.096378,3.369615,0.794
"34","ENSG00000236451","hurdle",0,-2.470652,2.856975,5.327627,0.792
"39","ENSG00000248455","hurdle",0,-2.820474,1.646938,4.467412,0.789
"12","ENSG00000141668","hurdle",0,-1.83501,3.104354,4.939364,0.786
"1","ENSG00000011083","hurdle",0,-2.6594096,0.6071753,3.2665849,0.761
"40","ENSG00000285939","hurdle",0,-1.69777,3.229138,4.926908,0.76
"20","ENSG00000169064","hurdle",0,-2.213011,1.639808,3.852819,0.755
"19","ENSG00000164794","hurdle",0,-2.6838143,0.6278325,3.3116468,0.753
"28","ENSG00000223812","hurdle",0,-2.707447,2.046786,4.754233,0.751
"26","ENSG00000184999","hurdle",0,-2.412686,2.134862,4.547548,0.751
"16","ENSG00000152034","hurdle",0,-2.919462,1.303302,4.222764,0.751
"30","ENSG00000224819","hurdle",0,-2.930197,1.331374,4.261571,0.749
"22","ENSG00000171509","hurdle",0,-2.269275,2.10109,4.370365,0.731
"6","ENSG00000085563","hurdle",0,-0.2332051,0.4888827,0.7220878,0.644
"24","ENSG00000175928","hurdle",0,-0.6091869,0.8511176,1.4603045,0.638
"13","ENSG00000143603","hurdle",0,-0.9209639,0.2674424,1.1884063,0.622
"4","ENSG00000080493","hurdle",0,0.5070414,1.2143509,0.7073095,0.615
"35","ENSG00000236790","hurdle",0,0.0516327,0.8150487,0.763416,0.612
"31","ENSG00000226476","hurdle",0,-1.27995419,-0.06701783,1.21293636,0.608
"33","ENSG00000231871","hurdle",0,-0.92520073,-0.09556396,0.82963677,0.585
"21","ENSG00000169313","hurdle",0,-1.840879,-0.9637763,0.8771027,0.581
"9","ENSG00000128567","hurdle",0,-1.886009,-1.123235,0.762774,0.579
"3","ENSG00000069122","hurdle",0,-1.8784448,-0.9084797,0.9699651,0.576
"5","ENSG00000082438","hurdle",0,-0.3797643,0.4954976,0.8752619,0.575
"25","ENSG00000182175","hurdle",0,-1.6791047,-0.7186195,0.9604852,0.565
"7","ENSG00000112799","hurdle",0,-2.548812,-1.673968,0.874844,0.555
"23","ENSG00000174945","hurdle",3.44621793577541e-170,-1.1647564,-0.6073287,0.5574277,0.552
"10","ENSG00000134516","hurdle",1.40620997883352e-88,-1.4455699,-0.9352514,0.5103185,0.531
"36","ENSG00000236963","hurdle",5.91382202838004e-155,-2.535003,-1.991731,0.543272,0.528
"27","ENSG00000196562","hurdle",6.27669688919964e-66,-1.293527,-0.6791633,0.6143637,0.526
